GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD01_VD92,HD02_VD92,HD01_VD93,HD02_VD93,HD01_VD94,HD02_VD94,HD01_VD95,HD02_VD95,HD01_VD96,HD02_VD96,HD01_VD97,HD02_VD97,HD01_VD98,HD02_VD98,HD01_VD99,HD02_VD99,HD01_VD100,HD02_VD100,HD01_VD101,HD02_VD101,HD01_VD102,HD02_VD102,HD01_VD103,HD02_VD103,HD01_VD104,HD02_VD104,HD01_VD105,HD02_VD105,HD01_VD106
Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Agriculture, forestry, fishing and hunting, and mining","Margin of Error; Total: - Agriculture, forestry, fishing and hunting, and mining",Estimate; Total: - Construction,Margin of Error; Total: - Construction,Estimate; Total: - Manufacturing,Margin of Error; Total: - Manufacturing,Estimate; Total: - Wholesale trade,Margin of Error; Total: - Wholesale trade,Estimate; Total: - Retail trade,Margin of Error; Total: - Retail trade,"Estimate; Total: - Transportation and warehousing, and utilities","Margin of Error; Total: - Transportation and warehousing, and utilities",Estimate; Total: - Information,Margin of Error; Total: - Information,"Estimate; Total: - Finance and insurance, and real estate and rental and leasing","Margin of Error; Total: - Finance and insurance, and real estate and rental and leasing","Estimate; Total: - Professional, scientific, and management, and administrative and waste management services","Margin of Error; Total: - Professional, scientific, and management, and administrative and waste management services","Estimate; Total: - Educational services, and health care and social assistance","Margin of Error; Total: - Educational services, and health care and social assistance","Estimate; Total: - Arts, entertainment, and recreation, and accommodation and food services","Margin of Error; Total: - Arts, entertainment, and recreation, and accommodation and food services",Estimate; Total: - Other services (except public administration),Margin of Error; Total: - Other services (except public administration),Estimate; Total: - Public administration,Margin of Error; Total: - Public administration,Estimate; Total: - Armed forces,Estimate; Total: - Worked at home:,Margin of Error; Total: - Worked at home:,"Estimate; Total: - Worked at home: - Agriculture, forestry, fishing and hunting, and mining","Margin of Error; Total: - Worked at home: - Agriculture, forestry, fishing and hunting, and mining",Estimate; Total: - Worked at home: - Construction,Margin of Error; Total: - Worked at home: - Construction,Estimate; Total: - Worked at home: - Manufacturing,Margin of Error; Total: - Worked at home: - Manufacturing,Estimate; Total: - Worked at home: - Wholesale trade,Margin of Error; Total: - Worked at home: - Wholesale trade,Estimate; Total: - Worked at home: - Retail trade,Margin of Error; Total: - Worked at home: - Retail trade,"Estimate; Total: - Worked at home: - Transportation and warehousing, and utilities","Margin of Error; Total: - Worked at home: - Transportation and warehousing, and utilities",Estimate; Total: - Worked at home: - Information,Margin of Error; Total: - Worked at home: - Information,"Estimate; Total: - Worked at home: - Finance and insurance, and real estate and rental and leasing","Margin of Error; Total: - Worked at home: - Finance and insurance, and real estate and rental and leasing","Estimate; Total: - Worked at home: - Professional, scientific, and management, and administrative and waste management services","Margin of Error; Total: - Worked at home: - Professional, scientific, and management, and administrative and waste management services","Estimate; Total: - Worked at home: - Educational services, and health care and social assistance","Margin of Error; Total: - Worked at home: - Educational services, and health care and social assistance","Estimate; Total: - Worked at home: - Arts, entertainment, and recreation, and accommodation and food services","Margin of Error; Total: - Worked at home: - Arts, entertainment, and recreation, and accommodation and food services",Estimate; Total: - Worked at home: - Other services (except public administration),Margin of Error; Total: - Worked at home: - Other services (except public administration),Estimate; Total: - Worked at home: - Public administration,Margin of Error; Total: - Worked at home: - Public administration,Estimate; Total: - Worked at home: - Armed forces
12,Florida,8585487,32920,88398,5780,581424,14673,427963,13158,246310,7081,1141758,18774,418321,12884,175755,9189,638875,15375,1125330,16967,1791175,23317,1052032,20984,472541,12516,373698,10684,51907,465861,12632,9985,2165,30985,3545,24044,2861,18155,2125,43799,4336,18505,2693,19804,2598,61769,3788,120040,5032,54591,3704,21877,3222,28577,3289,6135,1176,7595
13,Georgia,4417396,21376,49686,3670,275561,10288,455951,12522,123523,6312,527986,13626,272019,9968,109151,5682,278422,8436,495095,12782,918295,15963,422221,10961,212350,7763,227881,8956,49255,219216,7808,3035,999,10539,2069,15596,1987,7180,1333,12584,2150,7230,1791,12552,2175,25561,2715,59662,4402,28411,3143,10098,2218,13281,2120,5101,1297,8386
15,Hawaii,686258,7733,11484,2241,42339,3307,20109,2072,14842,2175,76370,4133,38184,2840,9834,1380,42115,3746,67654,4351,132483,5028,107450,4588,26200,2678,58042,3280,39152,30505,3393,1897,826,2324,939,757,345,595,418,2008,749,517,332,871,601,2229,677,6091,1252,4770,892,2344,833,2536,1097,957,497,2609
16,Idaho,691273,8858,37953,3553,48546,4538,65329,4781,16281,2134,83790,5097,32986,2927,16243,2190,36477,3671,73163,4377,152427,5483,60833,4045,30712,3069,33327,3461,3206,44352,4520,3263,1198,4037,1966,2666,947,732,462,2703,937,2290,868,729,479,4071,1565,9131,1603,8159,1557,2765,1135,3246,865,560,296,0
17,Illinois,6024882,24715,65248,3685,311363,10198,744824,13678,182847,7038,667743,14977,356320,8103,128291,5278,436318,10868,699359,11843,1348700,18763,558529,11561,289380,9375,218315,7363,17645,264383,8659,9737,1676,13469,1834,19894,2090,8651,1638,16588,1942,8261,1516,9743,1661,27557,2857,68329,4176,43805,2952,13602,2111,17435,2252,5777,1231,1535
18,Indiana,2974385,16676,41295,3075,160814,6815,563310,10503,77644,4817,347621,9511,143530,6258,46265,3532,151126,6762,242612,8323,688379,9519,270340,8864,137615,5681,102198,5140,1636,102249,3955,5973,978,8230,1695,8425,1194,3742,1065,7108,1337,1738,595,3340,876,9572,1652,20905,2306,19298,2419,4480,1318,7662,1469,1750,564,26
19,Iowa,1571210,10948,62403,3343,100526,4718,239790,6909,46139,3133,181663,6446,72632,3739,26998,2558,113854,4676,117595,4349,380157,7181,112192,5504,68245,3750,47420,2807,1596,74447,3958,15370,1812,3655,988,3394,795,1981,682,5093,1079,1803,544,1287,515,5439,1187,10375,1558,16617,1932,2101,802,6187,1343,1097,398,48
20,Kansas,1412132,12415,51440,2415,91739,4423,176369,6595,43569,3322,150900,6886,68627,3524,29685,2685,90739,4451,126823,5014,335426,7445,108605,5377,60015,3914,61517,3442,16678,55940,3146,5923,850,2000,571,3630,814,1795,623,3922,804,2288,720,1830,629,4484,875,10750,1310,13115,1412,2392,820,2854,710,670,333,287
21,Kentucky,1903620,16938,48745,3842,105246,5418,272701,8100,48164,3874,226948,6679,109789,5140,34341,3414,100931,5098,149902,7376,438361,10192,163484,6743,90754,4067,90041,5130,24213,60300,4078,3933,900,2634,714,4316,900,2224,938,4279,985,1466,512,1870,652,6502,1405,11262,1468,12900,1830,2463,658,5256,1242,1195,624,0
22,Louisiana,1997036,14305,94296,5305,157017,7044,156151,6897,55000,4436,243378,10198,106944,6568,33508,2978,95238,4604,169242,7393,449054,10631,210635,8492,105772,5992,107122,5951,13679,52360,3737,2206,728,2609,805,2325,583,2471,810,5149,1278,2076,809,1569,605,4924,1426,10872,2011,7736,1448,3262,1127,5145,1313,1209,531,807
23,Maine,623341,7591,17141,2111,38863,2710,59340,4082,13981,1632,86071,4622,19914,2121,10646,1624,36784,3596,56021,3258,166270,5414,59760,4042,30328,2567,26326,2346,1896,34543,2478,1846,551,2356,695,2290,679,1019,521,2361,627,920,418,1019,508,4164,1013,6872,1049,5426,896,2661,992,3341,870,263,163,5
24,Maryland,2688956,16873,17574,2704,185734,7346,132553,5166,57879,3864,283535,9028,105377,5551,53574,4153,160880,7039,378910,10246,662579,11854,227444,7429,145595,6375,252498,8000,24824,122798,5355,2125,738,6139,1445,5991,1004,3094,791,7623,1362,2288,723,5329,1122,10748,1594,35275,2768,21887,2103,4987,1199,9662,1465,4318,1127,3332
25,Massachusetts,3464607,21921,16224,2689,195245,7063,321125,8851,86477,5139,360212,8743,126946,6230,88556,4874,250387,7171,465706,10581,956182,15046,304272,9786,152004,7218,137466,6415,3805,163528,7042,2797,1655,7791,1766,10822,1465,4860,1124,8663,1341,2647,764,7873,1463,14583,1730,49127,3748,31867,2752,9811,1475,10504,2021,2111,651,72
26,Michigan,4322641,22774,55973,3058,209625,5396,793273,13489,102743,5329,486313,9914,171608,5452,74091,3403,235521,7975,402061,8996,1017079,14306,415628,10009,205017,7923,150466,4741,3243,159227,5552,9384,1565,9090,1490,13894,1638,4396,820,11171,1626,4110,1018,6797,1281,12634,1686,35203,2699,30709,2447,8164,1142,10406,1418,3238,779,31
27,Minnesota,2820532,13276,66215,2933,154109,4259,386187,8208,83632,4131,307280,6699,131586,5265,50800,2340,200352,5611,274279,7722,698726,10358,244783,9731,121758,3972,98450,3741,2375,144022,5360,13846,1062,6156,1056,10122,1402,4835,999,8924,1158,3188,662,3473,770,13051,1647,27886,2127,35922,2738,6954,1297,7297,1092,2368,551,0
28,Mississippi,1142866,12323,30857,2905,74186,5091,151656,6318,27603,3007,144125,6711,54322,3694,13729,2098,54043,4129,78915,5293,272432,7895,112066,5962,55903,4273,62733,3734,10296,27966,3305,1469,513,1933,890,1329,539,703,479,1746,750,1154,635,472,403,2715,969,4979,1223,5674,1557,1966,754,2932,1119,894,390,0
29,Missouri,2802314,15163,46746,3305,159891,6172,307252,7714,76814,3797,336718,10007,134384,4824,60199,3582,195820,6691,272434,8147,688268,12781,259806,8154,128358,5220,117418,5122,18206,121894,5852,7541,1205,8172,1807,7436,1369,3275,798,7224,1404,4523,1261,3592,742,14506,1867,23135,2401,19094,2711,3915,968,8700,1731,2233,899,8548
30,Montana,486143,5583,34412,2579,38762,3101,21966,2122,11042,1533,60379,3471,22356,2144,8989,1535,24755,2041,37678,2690,113636,4520,51740,3568,26633,2365,30345,2633,3450,34875,3086,6971,951,2227,907,1181,487,843,437,2036,678,600,325,695,447,1737,580,6913,1256,4625,973,2970,832,3337,904,713,356,27
31,Nebraska,984957,7271,43250,2432,68310,3775,106087,3823,26905,2452,115017,4720,53790,3364,18783,1855,76748,3853,80912,4519,232241,6536,74758,3925,43187,3249,40783,2647,4186,39106,2415,10085,1029,1865,562,2041,548,1178,472,1746,525,1112,323,1116,396,2786,676,4977,826,8262,1090,1731,543,1736,453,447,237,24
